STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MHP,D,32,TEMP MN,20120101 0000,20120101 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120102 0000,20120102 0000,30, ,DEG F
MHP,D,32,TEMP MN,20120103 0000,20120103 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120104 0000,20120104 0000,34, ,DEG F
MHP,D,32,TEMP MN,20120105 0000,20120105 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120106 0000,20120106 0000,27, ,DEG F
MHP,D,32,TEMP MN,20120107 0000,20120107 0000,19, ,DEG F
MHP,D,32,TEMP MN,20120108 0000,20120108 0000,21, ,DEG F
MHP,D,32,TEMP MN,20120109 0000,20120109 0000,29, ,DEG F
MHP,D,32,TEMP MN,20120110 0000,20120110 0000,27, ,DEG F
MHP,D,32,TEMP MN,20120111 0000,20120111 0000,25, ,DEG F
MHP,D,32,TEMP MN,20120112 0000,20120112 0000,21, ,DEG F
MHP,D,32,TEMP MN,20120113 0000,20120113 0000,23, ,DEG F
MHP,D,32,TEMP MN,20120114 0000,20120114 0000,25, ,DEG F
MHP,D,32,TEMP MN,20120115 0000,20120115 0000,17, ,DEG F
MHP,D,32,TEMP MN,20120116 0000,20120116 0000,13, ,DEG F
MHP,D,32,TEMP MN,20120117 0000,20120117 0000,12, ,DEG F
MHP,D,32,TEMP MN,20120118 0000,20120118 0000,24, ,DEG F
MHP,D,32,TEMP MN,20120119 0000,20120119 0000,24, ,DEG F
MHP,D,32,TEMP MN,20120120 0000,20120120 0000,30, ,DEG F
MHP,D,32,TEMP MN,20120121 0000,20120121 0000,11, ,DEG F
MHP,D,32,TEMP MN,20120122 0000,20120122 0000,12, ,DEG F
MHP,D,32,TEMP MN,20120123 0000,20120123 0000,17, ,DEG F
MHP,D,32,TEMP MN,20120124 0000,20120124 0000,13, ,DEG F
MHP,D,32,TEMP MN,20120125 0000,20120125 0000,28, ,DEG F
MHP,D,32,TEMP MN,20120126 0000,20120126 0000,25, ,DEG F
MHP,D,32,TEMP MN,20120127 0000,20120127 0000,16, ,DEG F
MHP,D,32,TEMP MN,20120128 0000,20120128 0000,18, ,DEG F
MHP,D,32,TEMP MN,20120129 0000,20120129 0000,25, ,DEG F
MHP,D,32,TEMP MN,20120130 0000,20120130 0000,23, ,DEG F
MHP,D,32,TEMP MN,20120131 0000,20120131 0000,20, ,DEG F
