STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
CAP,D,3,SNOW WC,20120101 0000,20120101 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120102 0000,20120102 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120103 0000,20120103 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120104 0000,20120104 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120105 0000,20120105 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120106 0000,20120106 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120107 0000,20120107 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120108 0000,20120108 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120109 0000,20120109 0500,-0.12, ,INCHES
CAP,D,3,SNOW WC,20120110 0000,20120110 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120111 0000,20120111 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120112 0000,20120112 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120113 0000,20120113 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120114 0000,20120114 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120115 0000,20120115 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120116 0000,20120116 0700,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120117 0000,20120117 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120118 0000,20120118 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120119 0000,20120119 0500,-0.24, ,INCHES
CAP,D,3,SNOW WC,20120120 0000,20120120 0500,0.12, ,INCHES
CAP,D,3,SNOW WC,20120121 0000,20120121 0500,1.32, ,INCHES
CAP,D,3,SNOW WC,20120122 0000,20120122 0500,1.68, ,INCHES
CAP,D,3,SNOW WC,20120123 0000,20120123 0500,3.00, ,INCHES
CAP,D,3,SNOW WC,20120124 0000,20120124 0500,3.72, ,INCHES
CAP,D,3,SNOW WC,20120125 0000,20120125 0500,3.84, ,INCHES
CAP,D,3,SNOW WC,20120126 0000,20120126 0500,3.96, ,INCHES
CAP,D,3,SNOW WC,20120127 0000,20120127 0500,4.20, ,INCHES
CAP,D,3,SNOW WC,20120128 0000,20120128 0500,3.96, ,INCHES
CAP,D,3,SNOW WC,20120129 0000,20120129 0500,4.20, ,INCHES
CAP,D,3,SNOW WC,20120130 0000,20120130 0500,4.20, ,INCHES
CAP,D,3,SNOW WC,20120131 0000,20120131 0500,4.20, ,INCHES
CAP,D,3,SNOW WC,20120201 0000,20120201 0500,4.32, ,INCHES
CAP,D,3,SNOW WC,20120202 0000,20120202 0500,4.32, ,INCHES
CAP,D,3,SNOW WC,20120203 0000,20120203 0500,4.20, ,INCHES
CAP,D,3,SNOW WC,20120204 0000,20120204 0500,4.32, ,INCHES
CAP,D,3,SNOW WC,20120205 0000,20120205 0500,4.08, ,INCHES
CAP,D,3,SNOW WC,20120206 0000,20120206 0500,3.96, ,INCHES
CAP,D,3,SNOW WC,20120207 0000,20120207 0500,4.08, ,INCHES
CAP,D,3,SNOW WC,20120208 0000,20120208 0500,3.84, ,INCHES
CAP,D,3,SNOW WC,20120209 0000,20120209 0500,3.72, ,INCHES
CAP,D,3,SNOW WC,20120210 0000,20120210 0500,4.08, ,INCHES
CAP,D,3,SNOW WC,20120211 0000,20120211 0500,4.32, ,INCHES
CAP,D,3,SNOW WC,20120212 0000,20120212 0500,4.20, ,INCHES
CAP,D,3,SNOW WC,20120213 0000,20120213 0500,4.44, ,INCHES
CAP,D,3,SNOW WC,20120214 0000,20120214 0500,4.68, ,INCHES
CAP,D,3,SNOW WC,20120215 0000,20120215 0500,4.80, ,INCHES
CAP,D,3,SNOW WC,20120216 0000,20120216 0500,4.80, ,INCHES
CAP,D,3,SNOW WC,20120217 0000,20120217 0500,4.80, ,INCHES
CAP,D,3,SNOW WC,20120218 0000,20120218 0500,5.28, ,INCHES
CAP,D,3,SNOW WC,20120219 0000,20120219 0500,5.40, ,INCHES
